time_horizon,annualised_return,sharpe_ratio,max_drawdown,sortino_ratio,calmar_ratio
3M,8.8845,17.4165,0.1327,0.5018,66.9508
6M,9.0532,21.3732,0.1327,0.6082,68.222
12M,12.1898,13.7103,0.1327,1.604,91.858
18M,22.8102,11.6535,0.1327,3.4008,171.8898
