time_horizon,annualised_return,sharpe_ratio,max_drawdown,sortino_ratio,calmar_ratio
3M,6.622,19.3659,0.0198,2.365,334.8459
6M,4.5601,12.5367,0.023,1.216,198.187
12M,6.2013,10.2944,0.0849,1.6325,73.0387
18M,11.6393,10.0463,0.0849,3.7743,137.0862
