time_horizon,annualised_return,sharpe_ratio,max_drawdown,sortino_ratio,calmar_ratio
3M,6.5999,19.3266,0.0195,2.3617,338.943
6M,4.5215,12.3467,0.0226,1.1968,200.3317
12M,6.0501,10.2372,0.0825,1.5885,73.3178
18M,11.1627,9.9409,0.0825,3.6169,135.275
