time,binance_btc_collateral,binance_eth_collateral,binance_liquid_cash,okx_btc_collateral,okx_eth_collateral,okx_liquid_cash,bybit_btc_collateral,bybit_eth_collateral,bybit_liquid_cash,binance_funding,okx_funding,bybit_funding,binance_unrealised_pnl,okx_unrealised_pnl,bybit_unrealised_pnl
2023-01-01 00:00:00,0.0,0.0,6000000.0,1200000.0,150000.0,650000.0,1200000.0,0.0,800000.0,0.0,0.0,0.0,0.0,-2022.6378375000002,-1857.7773630000002
2023-01-01 08:00:00,0.0,0.0,6000000.0,1200000.0,0.0,800049.8302044357,1200000.0,0.0,800000.0,0.0,87.53789538764921,435.6798733847628,0.0,-1833.1027535784388,-2257.1709901191043
2023-01-01 16:00:00,0.0,0.0,6000000.0,0.0,599794.4252366697,1399520.3255522295,1200000.0,0.0,800000.0,0.0,61.24744338125721,664.8564217853691,0.0,-898.6421475594467,-1721.7424705845058
2023-01-02 00:00:00,0.0,0.0,6000000.0,1199470.6986182202,449845.81892750226,349801.31348464475,1200000.0,0.0,800000.0,0.0,207.6129865254784,784.8474977420731,0.0,-2612.7024672710195,-1154.0302856731398
2023-01-02 08:00:00,0.0,0.0,6000000.0,299687.3962483116,0.0,1698228.5787404324,1200000.0,0.0,800000.0,0.0,71.34755206186881,905.2467803336249,0.0,-449.00671635088196,-1044.0130277873095
2023-01-02 16:00:00,0.0,0.0,6000000.0,299687.3962483116,0.0,1698228.5787404324,1200000.0,0.0,800000.0,0.0,77.70801154616623,1026.1265185219445,0.0,-421.0019947803132,-508.37537042032636
2023-01-03 00:00:00,0.0,0.0,6000000.0,299687.3962483116,0.0,1698228.5787404324,1200000.0,0.0,800000.0,0.0,84.82265688904154,1147.031543846936,0.0,-331.2018240947175,-666.7008146144708
2023-01-03 08:00:00,0.0,0.0,6000000.0,299687.3962483116,0.0,1698228.5787404324,1200000.0,0.0,800000.0,0.0,104.25422628444015,1267.6222861875758,0.0,-345.14276440900767,-751.5514829362273
2023-01-03 16:00:00,0.0,0.0,6000000.0,0.0,0.0,1997831.2695192911,1200000.0,0.0,800000.0,0.0,99.04594819685249,1388.3900384849196,0.0,0.0,-569.6560947947655
2023-01-04 00:00:00,0.0,0.0,6000000.0,0.0,0.0,1997831.2695192911,1200000.0,0.0,800000.0,0.0,99.04594819685249,1508.6484356007275,0.0,0.0,-1015.6279681440687
2023-01-04 08:00:00,0.0,0.0,6000000.0,299674.69042789366,0.0,1698156.5790913976,1200000.0,0.0,800000.0,0.0,99.04594819685249,1630.413223572567,0.0,-448.9876798522643,-620.1954336173258
2023-01-04 16:00:00,0.0,0.0,6000000.0,1198698.7617115749,149837.34521394686,649295.1625937695,1200000.0,0.0,800000.0,0.0,120.53522745895707,1752.0226762762784,0.0,-1814.5915568709183,-515.8976722212356
2023-01-05 00:00:00,0.0,0.0,6000000.0,1198698.7617115749,149837.34521394686,649295.1625937695,1200000.0,0.0,800000.0,0.0,245.31443453227786,1832.445177708059,0.0,-1942.4880620414033,-296.2008598101929
2023-01-05 08:00:00,0.0,0.0,6000000.0,1198698.7617115749,0.0,799086.2857210175,1200000.0,0.0,800000.0,0.0,314.57632374123284,1875.803755765348,0.0,-1706.7887859589598,-64.70782165396304
2023-01-05 16:00:00,0.0,0.0,6000000.0,0.0,149802.0771614077,1847558.9516573616,1200000.0,0.0,800000.0,0.0,209.9302677316287,1997.3879213323874,0.0,-224.44099955759845,-523.090284569309
2023-01-06 00:00:00,0.0,0.0,6000000.0,0.0,0.0,1997354.005256632,0.0,0.0,2001225.9598138435,0.0,200.67711154553922,1956.0585001649774,0.0,0.0,0.0
2023-01-06 08:00:00,0.0,0.0,6000000.0,0.0,149801.5503942474,1847552.4548623846,0.0,0.0,2001225.9598138435,0.0,200.67711154553922,1956.0585001649774,0.0,-224.4402103285688,0.0
2023-01-06 16:00:00,0.0,0.0,6000000.0,0.0,0.0,1997286.605082112,0.0,0.0,2001225.9598138435,0.0,187.91285644478074,1956.0585001649774,0.0,0.0,0.0
2023-01-07 00:00:00,0.0,0.0,6000000.0,0.0,0.0,1997286.605082112,0.0,0.0,2001225.9598138435,0.0,187.91285644478074,1956.0585001649774,0.0,0.0,0.0
2023-01-07 08:00:00,0.0,0.0,6000000.0,1198371.9630492672,599185.9815246335,199728.66050821124,0.0,0.0,2001225.9598138435,0.0,187.91285644478074,1956.0585001649774,0.0,-2693.191639847333,0.0
2023-01-07 16:00:00,0.0,0.0,6000000.0,0.0,449389.48614347505,1547594.8762953675,0.0,0.0,2001225.9598138435,0.0,63.890690481411916,1956.0585001649774,0.0,-548.156884205686,0.0
2023-01-08 00:00:00,0.0,0.0,6000000.0,299547.6543658264,449389.48614347505,1248047.221929541,0.0,0.0,2001225.9598138435,0.0,108.2932590582584,1956.0585001649774,0.0,-1071.9223411779888,0.0
2023-01-08 08:00:00,0.0,0.0,6000000.0,299547.6543658264,449389.48614347505,1248047.221929541,0.0,0.0,2001225.9598138435,0.0,225.21061984114777,1956.0585001649774,0.0,-1177.3671146909082,0.0
2023-01-08 16:00:00,0.0,0.0,6000000.0,0.0,0.0,1996659.7283776924,0.0,0.0,2001225.9598138435,0.0,149.82750446237284,1956.0585001649774,0.0,0.0,0.0
2023-01-09 00:00:00,0.0,0.0,6000000.0,0.0,0.0,1996659.7283776924,0.0,0.0,2001225.9598138435,0.0,149.82750446237284,1956.0585001649774,0.0,0.0,0.0
