time_horizon,annualised_return,sharpe_ratio,max_drawdown,sortino_ratio,calmar_ratio
3M,3.7141,9.0785,0.0209,0.7462,177.8317
6M,1.5826,-2.379,0.1082,-0.1582,14.6257
12M,3.3952,5.4678,0.1142,0.9153,29.7269
18M,7.9782,8.5423,0.1142,2.845,69.8543
